amount,payment_method,bank,gateway,bank_status,gateway_status,auth_status,capture_status,merchant_order_status,merchant_fulfillment_status,webhook_status,webhook_http_code,webhook_attempt_count,settlement_status,refund_status,bank_reversal_status,bank_latency_ms,gateway_latency_ms,transaction_age_seconds,time_of_day_hour,retry_count,amount_deviation_score,historical_merchant_failure_rate,is_amount_matched,is_duplicate_candidate,target_incident_class
925.8,DEBIT_CARD,ICICI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,4409,5260,49947,22,0,0.2858,0.0352,1,0,NORMAL
205.74,CREDIT_CARD,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,365,636,255759,18,0,-0.5101,0.0446,1,0,NORMAL
922.67,UPI,HDFC,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,UNFULFILLED,TIMED_OUT,0,5,ON_HOLD,NONE,NONE,399,690,172705,5,0,1.1968,0.0323,1,0,MISSING_WEBHOOK
11234.37,UPI,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,TIMED_OUT,504,3,ON_HOLD,NONE,NONE,335,445,28147,21,0,-0.1013,0.0679,1,0,MISSING_WEBHOOK
3273.87,CREDIT_CARD,YES_BANK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,369,485,5707,20,0,-0.3179,0.0672,1,0,NORMAL
2597.8,DEBIT_CARD,SBI,CASHFREE,REVERSED,SUCCESS,NONE,PENDING,FAILED,RETURNED,DROPPED,500,1,ON_HOLD,PENDING,REJECTED_BY_BANK,113685,59802,68223,2,3,-0.4588,0.0679,1,0,UNRESOLVED
697.82,CREDIT_CARD,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,327,410,92207,18,0,-0.6327,0.0537,1,0,NORMAL
313.1,UPI,INDUSIND,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,200,409,160576,9,0,-0.4874,0.0308,1,0,SETTLEMENT_MISMATCH
825.93,WALLET,PNB,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,294081,296270,17718,10,0,0.2707,0.0293,1,0,ORDER_PAYMENT_CONFLICT
715.04,WALLET,KOTAK,BILLDESK,DEBITED,SUCCESS,NONE,AUTO_REFUNDED,CANCELLED,CANCELLED,DELIVERED,500,1,FAILED,NONE,AWAITING_ACK,34689,57622,215655,7,0,-0.0069,0.0328,1,0,UNRESOLVED
746.15,DEBIT_CARD,KOTAK,CASHFREE,SUCCESS,FAILED,TIMEOUT,FAILED,CANCELLED,CANCELLED,NONE,504,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,1178,74664,178559,0,0,0.7765,0.039,1,0,BANK_DEBIT_GATEWAY_FAILURE
603.86,UPI,YES_BANK,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,263,380,33757,18,0,-0.071,0.0302,1,0,NORMAL
943.18,UPI,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,UNFULFILLED,FAILED,0,4,PENDING,NONE,NONE,246,475,20279,8,0,-0.1426,0.0535,1,0,MISSING_WEBHOOK
1371.66,UPI,KOTAK,BILLDESK,SUCCESS,PENDING,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,2,PENDING,NONE,NONE,35712,38556,63250,16,0,2.2659,0.0398,1,0,DELAYED_CONFIRMATION
319.92,CREDIT_CARD,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,UNFULFILLED,DROPPED,404,2,PENDING,NONE,NONE,379,558,176494,17,0,-0.2383,0.0437,1,0,MISSING_WEBHOOK
1981.26,CREDIT_CARD,KOTAK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,537,734,223268,12,0,0.0428,0.0543,1,0,NORMAL
2991.3,UPI,AXIS,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,341,569,114565,9,0,-0.0755,0.0467,1,0,SETTLEMENT_MISMATCH
3840.29,UPI,HDFC,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,NONE,NONE,308948,310360,130844,9,0,-0.1999,0.0628,1,0,ORDER_PAYMENT_CONFLICT
2622.7,CREDIT_CARD,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,402,657,120922,21,0,0.0016,0.0106,1,0,SETTLEMENT_MISMATCH
3699.85,CREDIT_CARD,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,738,952,246195,13,0,-0.2074,0.0572,1,0,SETTLEMENT_MISMATCH
1152.93,CREDIT_CARD,YES_BANK,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,242,345,169110,15,0,0.7737,0.032,1,0,NORMAL
416.81,UPI,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,PROCESSED,NONE,319659,321674,98961,7,0,-0.1316,0.0308,1,0,ORDER_PAYMENT_CONFLICT
900.39,UPI,AXIS,CASHFREE,PENDING,SUCCESS,AUTHORIZED,FAILED,PAID,CANCELLED,RETRYING,0,1,ON_HOLD,FAILED,REJECTED_BY_BANK,40644,97652,2208,22,1,0.8758,0.0326,1,0,UNRESOLVED
1113.87,UPI,PNB,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,650,931,196612,14,1,0.0126,0.0543,1,0,NORMAL
387.34,WALLET,KOTAK,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,160,669,207394,6,0,-0.4041,0.0398,1,0,NORMAL
496.05,EMI,PNB,PAYU,SUCCESS,FAILED,FAILED,AUTO_REFUNDED,EXPIRED,CANCELLED,DELIVERED,200,1,ON_HOLD,NONE,NOT_INITIATED,769,87926,117967,19,0,0.1811,0.0352,1,0,BANK_DEBIT_GATEWAY_FAILURE
5701.84,UPI,YES_BANK,BILLDESK,SUCCESS,FAILED,TIMEOUT,AUTO_REFUNDED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,1345,77985,133093,14,0,0.1879,0.06,1,0,BANK_DEBIT_GATEWAY_FAILURE
343.64,UPI,YES_BANK,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,446,706,68653,3,0,-0.4713,0.0205,1,0,NORMAL
968.01,UPI,SBI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,4215,4861,207753,0,0,0.3445,0.025,1,0,NORMAL
884.89,UPI,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,558,864,178521,13,2,-0.5343,0.0495,1,1,DUPLICATE_PAYMENT
947.61,DEBIT_CARD,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,726,936,198771,15,0,-0.1385,0.0594,1,0,NORMAL
2071.74,UPI,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,539,649,146977,8,0,-0.2601,0.0238,1,0,NORMAL
97.42,NET_BANKING,SBI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,373,570,229354,16,0,-0.7479,0.0305,1,0,SETTLEMENT_MISMATCH
1128.35,UPI,YES_BANK,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,474,597,237166,9,0,0.7359,0.0341,1,0,NORMAL
4334.1,NET_BANKING,PNB,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,DROPPED,0,3,ON_HOLD,NONE,NONE,365,446,75223,15,0,0.2383,0.045,1,0,MISSING_WEBHOOK
1636.15,UPI,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,429,429,258862,11,0,1.2965,0.0317,1,0,SETTLEMENT_MISMATCH
686.93,UPI,YES_BANK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,597,853,92077,18,0,0.4311,0.041,1,0,NORMAL
1303.84,CREDIT_CARD,HDFC,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,2956,3509,75911,15,0,1.7163,0.0386,1,0,NORMAL
2445.44,CREDIT_CARD,INDUSIND,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,TIMED_OUT,504,3,PENDING,NONE,NONE,298,525,216943,13,0,-0.1266,0.0103,1,0,MISSING_WEBHOOK
763.77,UPI,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,575,785,173808,15,2,-0.3057,0.0599,1,1,DUPLICATE_PAYMENT
1125.16,UPI,SBI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,389,599,84244,8,0,0.0525,0.0444,1,0,SETTLEMENT_MISMATCH
3558.04,DEBIT_CARD,YES_BANK,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,AWAITING_ACK,193,303,215930,1,0,0.2707,0.0238,1,0,REFUND_UNCERTAINTY
494.89,UPI,INDUSIND,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,423,625,78264,10,0,-0.5501,0.0401,1,0,NORMAL
19952.17,DEBIT_CARD,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,92366,97820,51762,0,0,0.5962,0.0709,1,0,DELAYED_CONFIRMATION
1292.77,DEBIT_CARD,HDFC,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,461,687,101374,4,0,0.1752,0.0523,1,0,NORMAL
6124.62,UPI,KOTAK,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,414,528,163941,4,0,0.7499,0.0336,1,0,NORMAL
5524.23,DEBIT_CARD,PNB,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,188,395,254170,3,0,0.1509,0.0613,1,0,NORMAL
15248.58,UPI,INDUSIND,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,2,SETTLED,NONE,NONE,619,777,225517,9,0,0.2199,0.0645,1,0,NORMAL
276.89,CREDIT_CARD,HDFC,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,NONE,NONE,242901,245009,131390,6,0,-0.574,0.0382,1,0,ORDER_PAYMENT_CONFLICT
1585.7,UPI,AXIS,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,462,637,57489,4,3,0.4415,0.0589,1,1,DUPLICATE_PAYMENT
2229.11,UPI,HDFC,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,283526,284638,118111,5,0,-0.5356,0.0536,1,0,ORDER_PAYMENT_CONFLICT
1346.07,UPI,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,586,811,64566,17,0,-0.5193,0.0264,1,0,NORMAL
408.99,UPI,ICICI,CASHFREE,DEBITED,SUCCESS,FAILED,PENDING,FAILED,RETURNED,DROPPED,200,1,FAILED,PENDING,NOT_INITIATED,4957,21571,230332,18,2,-0.0262,0.0336,1,0,UNRESOLVED
1091.13,NET_BANKING,AXIS,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,626,706,185833,1,0,-0.0081,0.0423,1,0,NORMAL
3527.04,UPI,INDUSIND,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,DROPPED,502,5,ON_HOLD,NONE,NONE,327,427,92743,15,0,0.0077,0.0307,1,0,MISSING_WEBHOOK
2547.02,UPI,INDUSIND,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,1577,2448,87521,18,0,1.3155,0.0575,1,0,NORMAL
7740.06,UPI,INDUSIND,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,AWAITING_ACK,264,506,19884,11,0,1.2114,0.0481,1,0,REFUND_UNCERTAINTY
7458.83,UPI,INDUSIND,RAZORPAY,DEBITED,FAILED,TIMEOUT,FAILED,EXPIRED,CANCELLED,DELIVERED,200,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,1057,62416,112383,11,0,0.5539,0.0594,1,0,BANK_DEBIT_GATEWAY_FAILURE
672.99,UPI,SBI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,1465,2115,46006,15,0,0.6024,0.0473,1,0,NORMAL
4478.75,DEBIT_CARD,INDUSIND,STRIPE,DEBITED,FAILED,TIMEOUT,FAILED,CANCELLED,CANCELLED,FAILED,500,1,ON_HOLD,INITIATED,NOT_INITIATED,1031,77618,90835,15,0,0.5996,0.0189,1,0,BANK_DEBIT_GATEWAY_FAILURE
3470.52,UPI,INDUSIND,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,352,450,115171,21,3,-0.0084,0.0452,1,1,DUPLICATE_PAYMENT
444.91,CREDIT_CARD,YES_BANK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,TIMED_OUT,0,4,ON_HOLD,NONE,NONE,470,601,81608,7,0,-0.3821,0.0256,1,0,MISSING_WEBHOOK
689.18,NET_BANKING,KOTAK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,2,SETTLED,NONE,NONE,289,375,137060,0,0,0.6409,0.0435,1,0,NORMAL
2527.1,UPI,INDUSIND,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,240,516,129212,16,1,0.3301,0.0424,1,1,DUPLICATE_PAYMENT
263.77,UPI,INDUSIND,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,561,810,212232,11,0,-0.5942,0.0268,1,0,NORMAL
858.26,UPI,SBI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,515,625,19385,22,0,-0.2198,0.0448,1,0,NORMAL
234.01,CREDIT_CARD,AXIS,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,NONE,AWAITING_ACK,425,591,189505,17,1,-0.4428,0.0313,1,1,DUPLICATE_PAYMENT
19482.84,CREDIT_CARD,ICICI,BILLDESK,REVERSED,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,FAILED,AWAITING_ACK,203,429,91525,17,0,0.5586,0.0744,1,0,REFUND_UNCERTAINTY
634.06,WALLET,PNB,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,AWAITING_ACK,404,487,233260,10,0,-0.4236,0.0447,1,0,REFUND_UNCERTAINTY
1913.32,UPI,YES_BANK,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,410,684,216312,4,0,-0.4533,0.0391,1,0,NORMAL
2194.65,UPI,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,717,820,69938,19,0,-0.7908,0.064,1,0,SETTLEMENT_MISMATCH
1743.51,UPI,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,NONE,AWAITING_ACK,357,648,100762,13,2,-0.0824,0.0572,1,1,DUPLICATE_PAYMENT
628.98,UPI,KOTAK,STRIPE,PENDING,SUCCESS,FAILED,AUTO_REFUNDED,PENDING_PAYMENT,CANCELLED,DELIVERED,504,1,FAILED,PENDING,REJECTED_BY_BANK,73505,97273,1259,16,3,-0.1264,0.0352,1,0,UNRESOLVED
708.06,UPI,INDUSIND,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,387,539,67722,6,1,-0.3563,0.0468,1,1,DUPLICATE_PAYMENT
10680.28,UPI,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,2,SETTLED,NONE,NONE,605,790,99003,23,0,2.8144,0.0183,1,0,NORMAL
755.35,DEBIT_CARD,PNB,RAZORPAY,REVERSED,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,NOT_INITIATED,734,1006,238563,2,0,0.5736,0.0411,1,0,REFUND_UNCERTAINTY
10808.1,CREDIT_CARD,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,297519,298534,70156,6,0,1.2517,0.0586,1,0,ORDER_PAYMENT_CONFLICT
1344.09,UPI,HDFC,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,207,482,91485,11,0,-0.2926,0.0464,1,0,NORMAL
2163.92,UPI,AXIS,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,CANCELLED,DELIVERED,200,1,ON_HOLD,NONE,NONE,350729,351700,31542,8,0,0.9672,0.0461,1,0,ORDER_PAYMENT_CONFLICT
282.07,UPI,AXIS,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,NONE,NONE,318711,319966,36587,23,0,-0.4124,0.0331,1,0,ORDER_PAYMENT_CONFLICT
284.94,NET_BANKING,HDFC,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,UNFULFILLED,FAILED,502,4,ON_HOLD,NONE,NONE,722,836,185521,22,0,-0.6042,0.0356,1,0,MISSING_WEBHOOK
452.02,CREDIT_CARD,YES_BANK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,AWAITING_ACK,488,637,141422,3,0,-0.3722,0.0245,1,0,REFUND_UNCERTAINTY
13318.86,UPI,PNB,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,462,622,17651,18,0,0.0655,0.0672,1,0,NORMAL
4940.45,CREDIT_CARD,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,NONE,AWAITING_ACK,260,428,125025,11,4,1.6002,0.0411,1,1,DUPLICATE_PAYMENT
4689.72,NET_BANKING,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,698,981,232776,3,0,0.6749,0.0238,1,0,NORMAL
766.43,UPI,YES_BANK,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,2,SETTLED,NONE,NONE,315,614,123923,10,1,-0.3032,0.047,1,0,NORMAL
734.09,WALLET,AXIS,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,RETRYING,200,1,SETTLED,NONE,NONE,68506,69997,138537,14,0,-0.7903,0.0386,1,0,DELAYED_CONFIRMATION
3064.37,NET_BANKING,YES_BANK,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,EXPIRED,UNFULFILLED,DROPPED,502,5,ON_HOLD,NONE,NONE,609,964,228653,11,0,-0.1245,0.0385,1,0,MISSING_WEBHOOK
1695.87,DEBIT_CARD,SBI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,2,SETTLED,NONE,NONE,98706,101460,250527,7,0,0.5417,0.043,1,0,DELAYED_CONFIRMATION
1093.89,UPI,HDFC,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,UNFULFILLED,TIMED_OUT,502,4,ON_HOLD,NONE,NONE,702,864,128905,22,0,-0.0056,0.0514,1,0,MISSING_WEBHOOK
7179.02,UPI,PNB,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,199,325,203261,0,1,0.4956,0.057,1,1,DUPLICATE_PAYMENT
