payment_id,merchant_id,amount,payment_method,bank,gateway,bank_status,gateway_status,auth_status,capture_status,merchant_order_status,merchant_fulfillment_status,webhook_status,webhook_http_code,webhook_attempt_count,settlement_status,refund_status,bank_reversal_status,bank_latency_ms,gateway_latency_ms,transaction_age_seconds,time_of_day_hour,retry_count,amount_deviation_score,historical_merchant_failure_rate,is_amount_matched,is_duplicate_candidate,target_incident_class
pay_synth_0006238,merch_flipkart,3612.06,CREDIT_CARD,PNB,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,188387,188387,78418,2,0,0.032,0.0407,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0001372,merch_zomato,2010.78,UPI,PNB,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,2007,2502,51142,6,0,1.7928,0.0315,1,0,NORMAL
pay_synth_0000626,merch_zepto,353.21,UPI,AXIS,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,2,PENDING,NONE,NONE,186,309,80796,22,0,-0.2641,0.0463,1,0,NORMAL
pay_synth_0003917,merch_zomato,683.2,NET_BANKING,SBI,RAZORPAY,SUCCESS,TIMED_OUT,FAILED,FAILED,CANCELLED,CANCELLED,NONE,500,1,ON_HOLD,NONE,NOT_INITIATED,255,36905,214905,19,0,-0.0511,0.0371,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0001076,merch_blinkit,312.31,UPI,YES_BANK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,691,803,224930,16,0,-0.2564,0.045,1,0,NORMAL
pay_synth_0003257,merch_tatacliq,2829.15,UPI,KOTAK,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,3,PENDING,NONE,NONE,40968,45064,552,16,0,-0.4106,0.0556,1,0,DELAYED_CONFIRMATION
pay_synth_0002317,merch_flipkart,5789.97,UPI,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,638,916,79775,9,0,0.6543,0.045,1,0,NORMAL
pay_synth_0000562,merch_bookmyshow,3821.15,WALLET,PNB,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,431,648,205032,5,0,2.4738,0.0441,1,0,NORMAL
pay_synth_0005445,merch_bookmyshow,1731.02,UPI,KOTAK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,FAILED,AWAITING_ACK,355,468,188403,3,0,0.5737,0.0564,1,0,REFUND_UNCERTAINTY
pay_synth_0005104,merch_amazon_in,2934.36,UPI,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,492,603,5654,10,2,0.048,0.024,1,1,DUPLICATE_PAYMENT
pay_synth_0003008,merch_amazon_in,1106.54,CREDIT_CARD,YES_BANK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,490,789,173457,1,0,-0.6048,0.0259,1,0,NORMAL
pay_synth_0001116,merch_zomato,896.26,CREDIT_CARD,ICICI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,450,726,24974,3,0,0.2448,0.0386,1,0,NORMAL
pay_synth_0003909,merch_tatacliq,6822.04,UPI,INDUSIND,PAYU,DEBITED,FAILED,TIMEOUT,FAILED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NOT_INITIATED,1451,62354,181728,11,0,0.4213,0.0588,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0002154,merch_tatacliq,5512.6,CREDIT_CARD,YES_BANK,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,620,895,160743,15,0,0.1485,0.0551,1,0,NORMAL
pay_synth_0006224,merch_zomato,2224.25,UPI,ICICI,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,287347,288172,182251,11,0,2.0892,0.0339,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0005292,merch_flipkart,4603.31,UPI,PNB,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,AWAITING_ACK,454,536,37111,3,0,0.3152,0.0331,1,0,REFUND_UNCERTAINTY
pay_synth_0003510,merch_swiggy,471.92,DEBIT_CARD,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,3,SETTLED,NONE,NONE,61674,62513,97159,19,0,-0.274,0.027,1,0,DELAYED_CONFIRMATION
pay_synth_0001288,merch_blinkit,569.67,UPI,INDUSIND,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,352,526,255280,11,0,0.3564,0.0473,1,0,NORMAL
pay_synth_0000246,merch_makemytrip,10226.97,DEBIT_CARD,ICICI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,282,389,38879,4,0,-0.1818,0.0718,1,0,NORMAL
pay_synth_0001796,merch_blinkit,267.49,UPI,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,336,549,234350,11,1,-0.3631,0.0421,1,1,NORMAL
pay_synth_0005254,merch_amazon_in,1150.08,UPI,INDUSIND,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,PENDING,AWAITING_ACK,301,462,14709,21,0,-0.5893,0.0281,1,0,REFUND_UNCERTAINTY
pay_synth_0003033,merch_bookmyshow,1444.0,UPI,SBI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,5794,6974,257671,0,0,0.3127,0.0523,1,0,NORMAL
pay_synth_0002863,merch_amazon_in,1445.19,UPI,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,347,622,232509,20,0,-0.4839,0.0221,1,0,NORMAL
pay_synth_0002674,merch_bookmyshow,796.13,UPI,PNB,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,711,971,44504,11,0,-0.2762,0.0583,1,0,NORMAL
pay_synth_0005988,merch_zomato,737.9,DEBIT_CARD,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,NONE,NONE,435,697,207993,11,0,0.0491,0.0251,1,0,SETTLEMENT_MISMATCH
pay_synth_0000178,merch_tatacliq,11481.49,UPI,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,585,750,1804,9,0,1.392,0.0619,1,0,NORMAL
pay_synth_0006468,merch_zomato,538.86,UPI,SBI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NONE,192206,193256,71437,1,0,-0.2516,0.0266,1,0,ORDER_PAYMENT_CONFLICT
pay_synth_0000038,merch_swiggy,200.57,UPI,SBI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,597,761,108785,2,0,-0.6914,0.0228,1,0,NORMAL
pay_synth_0003397,merch_swiggy,880.36,EMI,INDUSIND,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PROCESSING,PROCESSING,DELIVERED,200,2,SETTLED,NONE,NONE,40466,45435,165739,8,0,0.3544,0.0213,1,0,DELAYED_CONFIRMATION
pay_synth_0003810,merch_myntra,3090.5,EMI,INDUSIND,PAYU,DEBITED,PENDING,TIMEOUT,AUTO_REFUNDED,CANCELLED,CANCELLED,NONE,504,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,443,38458,90341,12,0,0.6266,0.0424,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0004709,merch_tatacliq,8514.56,UPI,AXIS,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,PROCESSED,CREDITED_TO_CUSTOMER,202,417,14032,23,3,0.7739,0.0528,1,0,DUPLICATE_PAYMENT
pay_synth_0003367,merch_makemytrip,9117.55,CREDIT_CARD,HDFC,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,PENDING,PENDING_PAYMENT,PROCESSING,DELIVERED,200,3,SETTLED,NONE,NONE,68175,72989,233015,11,0,-0.2706,0.0701,1,0,DELAYED_CONFIRMATION
pay_synth_0004673,merch_makemytrip,16674.57,NET_BANKING,YES_BANK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,DROPPED,404,3,PENDING,NONE,NONE,241,369,161136,7,0,0.334,0.0723,1,0,MISSING_WEBHOOK
pay_synth_0000586,merch_amazon_in,3249.66,DEBIT_CARD,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,332,495,207015,9,0,0.1606,0.0284,1,0,NORMAL
pay_synth_0001439,merch_amazon_in,3759.19,NET_BANKING,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,345,531,180676,17,0,0.3426,0.0277,1,0,NORMAL
pay_synth_0001023,merch_swiggy,640.57,NET_BANKING,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,485,778,195923,23,0,-0.0145,0.0349,1,0,NORMAL
pay_synth_0000545,merch_swiggy,147.52,UPI,SBI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,480,532,74459,17,0,-0.773,0.0207,1,0,NORMAL
pay_synth_0003881,merch_myntra,2277.03,CREDIT_CARD,HDFC,BILLDESK,SUCCESS,FAILED,TIMEOUT,FAILED,CANCELLED,CANCELLED,FAILED,500,1,ON_HOLD,INITIATED,NOT_INITIATED,802,60626,122384,6,0,0.1984,0.0403,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0001075,merch_flipkart,6363.15,UPI,INDUSIND,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,593,807,141972,17,0,0.818,0.0357,1,0,NORMAL
pay_synth_0003967,merch_amazon_in,3374.63,UPI,KOTAK,RAZORPAY,DEBITED,FAILED,TIMEOUT,FAILED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NOT_INITIATED,1638,73426,236068,6,0,0.2052,0.0139,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0002550,merch_makemytrip,43763.24,CREDIT_CARD,KOTAK,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,750,976,120597,4,0,2.5011,0.0659,1,0,NORMAL
pay_synth_0004928,merch_bookmyshow,1269.27,UPI,YES_BANK,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,203,429,230810,11,3,0.1539,0.052,1,1,DUPLICATE_PAYMENT
pay_synth_0000753,merch_myntra,1057.95,UPI,HDFC,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,668,937,131951,5,0,-0.4432,0.0541,1,0,NORMAL
pay_synth_0004813,merch_makemytrip,18567.25,UPI,INDUSIND,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,ON_HOLD,INITIATED,AWAITING_ACK,677,805,183545,18,1,0.4854,0.0644,1,1,DUPLICATE_PAYMENT
pay_synth_0004304,merch_zepto,732.05,UPI,HDFC,RAZORPAY,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,DROPPED,404,4,ON_HOLD,NONE,NONE,372,613,143443,19,0,0.5251,0.0376,1,0,MISSING_WEBHOOK
pay_synth_0004939,merch_blinkit,757.38,DEBIT_CARD,SBI,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,AWAITING_ACK,201,347,244593,18,1,0.8033,0.031,1,1,DUPLICATE_PAYMENT
pay_synth_0003434,merch_zomato,678.92,UPI,YES_BANK,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,SETTLED,NONE,NONE,24273,27159,252715,18,0,-0.0571,0.0265,1,0,DELAYED_CONFIRMATION
pay_synth_0001607,merch_zepto,516.66,UPI,SBI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,222,373,148880,17,0,0.0764,0.0449,1,0,NORMAL
pay_synth_0003916,merch_blinkit,397.48,CREDIT_CARD,PNB,BILLDESK,SUCCESS,FAILED,NONE,FAILED,CANCELLED,CANCELLED,NONE,500,1,ON_HOLD,PROCESSED,CREDITED_TO_CUSTOMER,428,36328,169936,5,0,-0.0536,0.0401,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0006964,merch_tatacliq,3909.18,EMI,HDFC,PAYU,REVERSED,FAILED,FAILED,FAILED,CANCELLED,DELIVERED,FAILED,500,1,FAILED,PENDING,NOT_INITIATED,125493,89429,138304,21,3,-0.1856,0.0635,1,0,UNRESOLVED
pay_synth_0006650,merch_blinkit,473.75,UPI,INDUSIND,RAZORPAY,REVERSED,FAILED,TIMEOUT,AUTO_REFUNDED,PENDING_PAYMENT,DELIVERED,DELIVERED,404,1,PENDING,NONE,NOT_INITIATED,9655,32594,37509,0,2,0.128,0.0448,1,0,UNRESOLVED
pay_synth_0002118,merch_tatacliq,2643.24,UPI,HDFC,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,228,514,72090,23,0,-0.4493,0.0508,1,0,NORMAL
pay_synth_0002441,merch_swiggy,1857.01,UPI,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,SETTLED,NONE,NONE,283,423,98089,13,0,1.8569,0.0314,1,0,NORMAL
pay_synth_0004344,merch_tatacliq,8878.93,DEBIT_CARD,AXIS,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,FAILED,502,5,ON_HOLD,NONE,NONE,744,985,103837,11,0,0.8498,0.0548,1,0,MISSING_WEBHOOK
pay_synth_0001935,merch_zepto,2345.82,UPI,ICICI,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,246,486,24374,8,0,3.8871,0.0347,1,0,NORMAL
pay_synth_0002200,merch_zomato,964.85,UPI,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,750,1005,35035,8,0,0.3401,0.0293,1,0,NORMAL
pay_synth_0000051,merch_tatacliq,5830.29,UPI,ICICI,CASHFREE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,728,1003,31370,10,0,0.2146,0.0554,1,0,NORMAL
pay_synth_0003640,merch_makemytrip,16451.42,UPI,YES_BANK,STRIPE,DEBITED,FAILED,FAILED,FAILED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,INITIATED,NOT_INITIATED,1647,43123,49385,22,0,0.3161,0.0736,1,0,BANK_DEBIT_GATEWAY_FAILURE
pay_synth_0004767,merch_blinkit,206.52,UPI,HDFC,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,DELIVERED,DELIVERED,200,1,DISCREPANCY,PROCESSED,CREDITED_TO_CUSTOMER,627,886,238985,10,1,-0.5083,0.0494,1,1,DUPLICATE_PAYMENT
pay_synth_0006953,merch_swiggy,269.88,UPI,AXIS,CASHFREE,REVERSED,FAILED,FAILED,CAPTURED,PAID,RETURNED,SCHEDULED,502,1,FAILED,PENDING,AWAITING_ACK,119570,127680,149009,5,2,-0.5848,0.0335,1,0,UNRESOLVED
pay_synth_0002861,merch_blinkit,305.37,NET_BANKING,HDFC,PAYU,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,5681,7027,20272,21,0,-0.2729,0.0329,1,0,NORMAL
pay_synth_0003083,merch_bookmyshow,337.92,UPI,INDUSIND,STRIPE,PENDING,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,PROCESSING,DELIVERED,200,3,SETTLED,NONE,NONE,35064,39192,187458,8,0,-0.6928,0.0462,1,0,DELAYED_CONFIRMATION
pay_synth_0005434,merch_myntra,1544.6,UPI,YES_BANK,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,REFUNDED,RETURNED,DELIVERED,200,1,REVERSED,MANUAL_INTERVENTION_REQUIRED,AWAITING_ACK,625,809,117384,1,0,-0.1871,0.0596,1,0,REFUND_UNCERTAINTY
pay_synth_0000430,merch_zomato,250.64,UPI,ICICI,BILLDESK,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PAID,PROCESSING,DELIVERED,200,1,PENDING,NONE,NONE,5346,7214,67924,22,1,-0.6519,0.0308,1,1,NORMAL
pay_synth_0006892,merch_bookmyshow,9140.76,DEBIT_CARD,ICICI,CASHFREE,PENDING,SUCCESS,FAILED,AUTO_REFUNDED,CANCELLED,UNFULFILLED,FAILED,502,1,ON_HOLD,PENDING,AWAITING_ACK,69136,12209,251047,18,2,7.3098,0.0597,1,0,UNRESOLVED
pay_synth_0004155,merch_makemytrip,22642.49,CREDIT_CARD,PNB,STRIPE,SUCCESS,SUCCESS,AUTHORIZED,CAPTURED,PENDING_PAYMENT,UNFULFILLED,FAILED,502,5,PENDING,NONE,NONE,685,836,155982,3,0,0.8114,0.0709,1,0,MISSING_WEBHOOK
pay_synth_0003890,merch_flipkart,5827.16,CREDIT_CARD,KOTAK,STRIPE,SUCCESS,TIMED_OUT,FAILED,FAILED,CANCELLED,CANCELLED,DELIVERED,200,1,ON_HOLD,NONE,NOT_INITIATED,1597,43215,226019,6,0,0.6649,0.038,1,0,BANK_DEBIT_GATEWAY_FAILURE
